x\y 0,0601875596028695 0,219869077308042 0,574599663994554 0,966464902724356 
2 -0,503226985150211 -0,933644996683322 -2,55235557945605 -41,4600217168394 
5 -0,795671726567198 -1,47622235776983 -4,03562851486 -65,5540502326285 
8 -1,00645397030042 -1,86728999336664 -5,10471115891211 -82,9200434336788 
11 -1,18017189095849 -2,18959160326187 -5,98580441727697 -97,2323696316426 
14 -1,33141345572425 -2,47019247404379 -6,75289812064888 -109,692906814094 
17 -1,46714617129946 -2,72201953126173 -7,44133130117413 -120,875696095066 
20 -1,5913434531344 -2,95244471553965 -8,07125702972 -131,108100465257 
23 -1,706525734851 -3,16614422730009 -8,65545888707093 -140,597774195572 
26 -1,81441069815624 -3,36630490862212 -9,2026489149454 -149,486234181915 
29 -1,91623126982598 -3,55521422808262 -9,71908048931155 -157,875059179819 
32 -2,01290794060084 -3,73457998673329 -10,2094223178242 -165,840086867358 
35 -2,10514951374219 -3,90571723849238 -10,6772694341605 -173,439714348571 

